,gene,beta,alpha,delta,ductal,endothelial,gamma,macrophage,quiescent_stellate,activated_stellate
43,Ppy,53.84799308404538,56.86662083722776,185.90975835892993,4.991094923311944,2.0957678133698603,683.9794632133049,1.312636992094872,139.69056923835288,0.9492622930986468
44,Chgb,10.721256945381365,3.144100486615626,13.906054265736863,0.8903821417390416,1.356141588603916,5.540758070878027,0.50709255283711,0.9017405309726794,0.36313651960128146
45,Sez6l,2.3100000688114415,0.4223698052786593,3.203322905858867,0.2376616901497395,0.506345924632077,0.6869870592028609,0.280305955290694,0.24709224814516542,0.0
46,Abcc8,2.5375381839141204,2.8597220968486066,3.3832328835641623,0.5652394950770488,0.5798730351903614,2.9707927824231635,0.560611910581388,0.20402970888857871,0.26726124191242434
47,Arg1,0.30262361396578064,0.7673410877821039,2.2344177094529765,0.10406470346997884,0.11951662978045263,0.37449152518985585,2.7756023227343385,0.0,0.0
48,Fam159b,0.989310202928973,0.10205926017510447,2.057110649324854,0.16946772520805578,0.16778376539443354,0.34570535882735637,0.0,0.0,0.0
49,Isl1,1.5416214667542916,1.7129818947138717,2.0989203265046372,0.21632142027073886,0.4181523923275564,1.3270175619621987,0.0,0.0,0.2672612419124244
50,Dpp6,0.10522807936169915,0.22724341603116308,1.6586278602793498,0.0,0.0,0.0,0.0,0.0,0.0
51,Mest,0.1734462402515213,0.3304180406169879,1.8299823067141208,0.10406470346997883,0.5191565386523435,0.3123475237772121,0.0,0.0,0.26726124191242434
52,Clu,1.281393472447759,1.8827142218093087,4.5901138943310205,41.12309583774902,1.8716784084462634,3.3762080042267657,0.5247826458609559,0.3965624725495311,6.546956343419235
53,Auts2,0.6746839250206474,0.4213246572362701,1.649701561251495,0.850652585275621,0.2223090922549458,0.2180847899550909,0.3683941988065036,0.0,0.2672612419124244
54,Ache,0.1000850151308921,0.4644424682161639,1.4084094930562852,0.0,0.0,0.4593208135454974,0.0,0.20402970888857874,0.0
55,Krt8,3.7905406066341816,3.3338366479568844,2.9261004782463993,27.655035863770088,0.3936202739051865,2.475982189935552,0.5426273532033234,1.3222636380785204,0.0
56,Krt18,1.7053191240483458,1.7706931106310813,1.3073442336146657,10.40253784562824,0.2859078540568007,1.4646234844558217,0.39840953644479793,0.4770399014024559,0.36313651960128146
57,Cldn4,1.2807476534855842,1.6397514412855765,1.979159374636568,9.741656971860529,0.2368422576964635,1.9298679343163456,0.0,0.4480402387109475,0.2672612419124244
58,Zfp36l1,0.08169352187178937,0.5870373420856896,0.6480818981459324,7.724678435657149,2.864525294195972,0.2636516548818748,1.1832159566199232,3.995140433831013,3.4641016151377544
59,Flna,0.44855544933331265,0.38859463032587593,0.3160405381934289,5.172388537719885,1.6196260080021876,0.0,1.785301539600968,2.626098290128762,4.008918628686366
60,Cd44,0.8030607504192758,0.30491518636092707,1.0244134449455757,7.0935581120327535,0.3027349011827337,0.15617376188860604,2.0336455654106214,1.3967717504478725,4.304355065218544
61,Anxa3,0.12448742015397374,0.07235746052924213,0.330524105650939,5.4409979958133246,1.5379670050432857,0.0,0.554204706893452,0.4809026357287708,0.0
62,Dsg2,0.5550041814543989,0.5056855036511535,0.6114267262112345,3.02423302697723,0.16963778593599418,0.2636516548818748,0.0,0.0,0.0
63,Sox4,0.57845352109452,0.6542145621307587,0.7273256928707488,5.251682828218182,6.11885715530945,1.5907507048177123,0.6825489109748955,0.8714826224010929,3.1666184688832546
64,Nfib,0.13338618241091,0.07235746052924213,0.2734383446136946,2.38523994778171,1.746080108704032,0.34570535882735637,0.0,0.14586499149789453,0.8418973861410954
65,Cdh1,1.797728556666511,1.3278291828907605,2.1855538585506284,5.518739265354436,0.5410863850359912,1.6465040570117337,0.5426273532033236,0.14586499149789453,0.5345224838248488
66,Anxa2,0.18984452812293195,0.6546777229407248,0.35159732986169456,6.947032516334769,3.5079188608984473,0.5012180286014479,2.7371634025142693,2.230890688826979,5.429366627703638
